Latitude (decimal degrees): 39.470
Longitude (decimal degrees): -0.370
Elevation (m): 23.0
month,year
1,2006
2,2015
3,2020
4,2018
5,2005
6,2009
7,2011
8,2020
9,2011
10,2013
11,2008
12,2008
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20200306:1100,19.48,45.85,439.0,156.73,333.0,319.9,7.24,271.0,100685.0
20200306:1200,21.44,41.0,519.0,258.02,337.0,334.15,8.07,271.0,100615.0
20200306:1300,22.24,39.85,322.0,32.25,300.0,323.75,8.48,271.0,100486.0
20200306:1400,21.64,41.5,557.0,611.81,185.0,326.65,8.62,270.0,100426.0
20200306:1500,20.84,42.95,455.0,692.23,117.0,332.4,8.28,268.0,100476.0
20200306:1600,20.19,40.05,187.0,120.86,147.0,314.1,7.52,270.0,100505.0
20200306:1700,19.59,38.25,80.0,170.27,55.0,305.25,6.55,271.0,100585.0
20200306:1800,18.65,38.45,0.0,-0.0,0.0,295.4,5.52,269.0,100635.0
20200306:1900,17.74,42.9,0.0,-0.0,0.0,293.45,5.03,277.0,100745.0
20200306:2000,17.11,43.15,0.0,-0.0,0.0,287.9,4.48,273.0,100835.0
20200306:2100,16.48,43.7,0.0,-0.0,0.0,285.75,4.28,268.0,100894.0
20200306:2200,15.92,44.55,0.0,-0.0,0.0,283.85,4.48,268.0,100964.0
20200306:2300,15.38,45.9,0.0,-0.0,0.0,281.9,4.83,270.0,100994.0
20200307:0000,14.85,47.8,0.0,-0.0,0.0,285.35,4.69,270.0,100994.0
20200307:0100,14.3,50.5,0.0,-0.0,0.0,278.65,4.62,268.0,101004.0
20200307:0200,13.76,52.8,0.0,-0.0,0.0,274.55,4.69,267.0,101034.0
20200307:0300,13.28,54.2,0.0,-0.0,0.0,273.4,4.69,268.0,100984.0
20200307:0400,12.86,54.5,0.0,-0.0,0.0,270.5,4.83,269.0,101024.0
20200307:0500,12.44,54.1,0.0,-0.0,0.0,267.65,5.03,270.0,101024.0
20200307:0600,12.03,53.75,0.0,-0.0,0.0,264.55,5.31,270.0,101054.0
20200307:0700,11.93,53.3,87.0,344.93,42.0,262.25,5.45,267.0,101054.0
20200307:0800,12.68,49.65,287.0,662.72,77.0,262.6,5.59,265.0,101104.0
20200307:0900,13.92,45.45,468.0,761.97,104.0,265.9,7.1,269.0,101114.0
20200307:1000,15.49,38.1,327.0,64.78,288.0,278.6,7.72,282.0,101114.0
20200307:1100,16.51,30.4,702.0,820.49,143.0,282.1,7.1,292.0,101114.0
20200307:1200,17.12,26.9,242.0,1.41,241.0,279.0,6.97,302.0,101074.0
20200307:1300,17.49,24.65,685.0,733.97,181.0,288.65,7.31,313.0,101054.0
20200307:1400,17.39,24.15,585.0,651.54,186.0,295.4,7.31,313.0,101084.0
20200307:1500,17.39,23.05,239.0,40.62,219.0,292.3,7.1,309.0,101104.0
20200307:1600,17.04,22.7,299.0,618.17,92.0,289.6,7.1,311.0,101174.0
20200307:1700,16.19,24.4,99.0,298.96,54.0,279.4,6.41,318.0,101263.0
20200307:1800,14.91,27.25,0.0,-0.0,0.0,267.65,5.52,320.0,101393.0
20200307:1900,14.62,29.55,0.0,-0.0,0.0,268.4,4.48,315.0,101523.0
20200307:2000,13.77,33.2,0.0,-0.0,0.0,266.1,3.79,312.0,101642.0
20200307:2100,13.0,36.6,0.0,-0.0,0.0,261.05,3.1,309.0,101722.0
20200307:2200,12.34,40.05,0.0,-0.0,0.0,264.15,2.83,301.0,101802.0
20200307:2300,11.59,45.05,0.0,-0.0,0.0,259.9,2.76,284.0,101872.0
20200308:0000,10.94,48.05,0.0,-0.0,0.0,255.65,3.24,274.0,101912.0
20200308:0100,10.55,48.45,0.0,-0.0,0.0,254.55,3.72,270.0,101932.0
20200308:0200,10.29,47.9,0.0,-0.0,0.0,255.85,4.34,267.0,101932.0
20200308:0300,10.29,47.05,0.0,-0.0,0.0,266.85,4.83,267.0,101932.0
20200308:0400,10.12,47.75,0.0,-0.0,0.0,259.55,5.1,269.0,101942.0
20200308:0500,10.04,48.5,0.0,-0.0,0.0,262.6,5.45,272.0,101942.0
20200308:0600,9.96,49.35,0.0,-0.0,0.0,262.05,5.79,276.0,101962.0
20200308:0700,10.5,49.35,36.0,7.37,35.0,263.2,5.52,277.0,101991.0
20200308:0800,11.65,46.55,157.0,58.99,138.0,268.6,5.45,280.0,102061.0
20200308:0900,13.27,41.2,186.0,10.35,181.0,275.15,6.21,283.0,102051.0
20200308:1000,14.88,36.9,251.0,13.18,243.0,289.8,6.34,310.0,102091.0
20200308:1100,16.46,33.0,370.0,59.74,329.0,286.35,5.86,324.0,102031.0
20200308:1200,17.69,30.9,484.0,172.04,361.0,293.65,5.24,334.0,101962.0
20200308:1300,18.93,29.0,721.0,875.24,116.0,291.95,4.76,342.0,101852.0
20200308:1400,19.6,28.1,653.0,950.19,67.0,293.45,4.21,353.0,101782.0
20200308:1500,19.84,28.0,484.0,759.34,107.0,292.3,3.66,5.0,101752.0
20200308:1600,19.59,29.1,309.0,679.02,79.0,292.1,2.83,27.0,101752.0
20200308:1700,18.3,35.6,110.0,402.1,48.0,289.4,2.21,87.0,101802.0
20200308:1800,16.33,45.55,0.0,-0.0,0.0,284.8,1.86,114.0,101892.0
20200308:1900,15.07,50.8,0.0,-0.0,0.0,286.15,0.97,179.0,102001.0
20200308:2000,13.08,62.35,0.0,-0.0,0.0,282.85,1.17,246.0,102041.0
20200308:2100,11.75,66.3,0.0,-0.0,0.0,282.1,2.0,275.0,102101.0
20200308:2200,11.58,65.95,0.0,-0.0,0.0,284.4,2.41,291.0,102111.0
20200308:2300,11.63,63.6,0.0,-0.0,0.0,281.5,2.62,298.0,102141.0
20200309:0000,11.3,65.5,0.0,-0.0,0.0,280.55,2.48,296.0,102131.0
20200309:0100,10.61,70.2,0.0,-0.0,0.0,279.25,2.21,294.0,102131.0
20200309:0200,9.97,75.2,0.0,-0.0,0.0,275.55,2.28,293.0,102111.0
20200309:0300,9.56,77.55,0.0,-0.0,0.0,274.0,2.55,294.0,102071.0
20200309:0400,9.31,77.55,0.0,-0.0,0.0,272.45,2.69,295.0,102041.0
20200309:0500,9.03,77.75,0.0,-0.0,0.0,270.35,2.76,294.0,102061.0
20200309:0600,8.68,78.9,0.0,-0.0,0.0,268.4,2.62,291.0,102111.0
20200309:0700,8.62,79.65,104.0,454.28,40.0,267.25,2.55,272.0,102131.0
20200309:0800,10.45,66.95,304.0,699.55,75.0,267.05,2.34,262.0,102161.0
20200309:0900,13.31,53.0,498.0,856.34,80.0,270.15,2.07,258.0,102181.0
20200309:1000,16.12,42.4,648.0,914.68,88.0,275.55,1.79,248.0,102131.0
20200309:1100,18.47,34.3,740.0,918.65,105.0,280.15,1.45,234.0,102101.0
20200309:1200,20.29,28.65,667.0,551.6,270.0,283.65,1.17,207.0,102001.0
20200309:1300,21.55,25.45,734.0,870.97,128.0,285.95,1.38,164.0,101882.0
20200309:1400,22.15,24.8,653.0,885.64,103.0,288.05,2.48,139.0,101772.0
20200309:1500,21.51,29.7,508.0,835.09,90.0,288.45,3.72,127.0,101722.0
20200309:1600,20.28,36.55,304.0,589.67,102.0,288.45,3.72,125.0,101692.0
20200309:1700,18.89,44.5,110.0,348.45,55.0,286.35,3.17,118.0,101652.0
20200309:1800,17.06,54.25,0.0,-0.0,0.0,289.6,2.83,103.0,101682.0
20200309:1900,15.8,62.45,0.0,-0.0,0.0,291.95,1.17,66.0,101752.0
20200309:2000,14.47,67.45,0.0,-0.0,0.0,311.6,1.38,348.0,101752.0
20200309:2100,14.16,67.7,0.0,-0.0,0.0,326.45,2.0,330.0,101782.0
20200309:2200,13.95,68.0,0.0,-0.0,0.0,318.9,2.21,319.0,101822.0
20200309:2300,13.76,65.2,0.0,-0.0,0.0,300.6,2.48,303.0,101822.0
20200310:0000,13.92,56.55,0.0,-0.0,0.0,287.3,3.03,292.0,101812.0
20200310:0100,14.21,48.65,0.0,-0.0,0.0,284.45,3.52,291.0,101832.0
20200310:0200,14.15,46.85,0.0,-0.0,0.0,282.65,3.66,293.0,101822.0
20200310:0300,13.74,49.35,0.0,-0.0,0.0,276.3,3.52,291.0,101822.0
20200310:0400,13.19,53.6,0.0,-0.0,0.0,274.2,3.38,287.0,101852.0
20200310:0500,12.65,58.3,0.0,-0.0,0.0,275.35,3.17,281.0,101852.0
20200310:0600,12.27,61.8,0.0,-0.0,0.0,274.2,3.1,289.0,101962.0
20200310:0700,12.2,65.65,84.0,198.45,55.0,285.75,2.28,286.0,101971.0
20200310:0800,13.53,61.75,143.0,30.06,133.0,298.85,1.93,289.0,102051.0
20200310:0900,15.47,52.35,303.0,135.81,236.0,306.95,1.86,287.0,102071.0
20200310:1000,16.76,46.7,317.0,51.83,285.0,313.7,1.79,297.0,102021.0
20200310:1100,17.78,42.3,541.0,310.27,325.0,312.95,2.21,311.0,102051.0
20200310:1200,18.69,38.0,632.0,472.07,290.0,319.3,2.62,323.0,102001.0
20200310:1300,19.69,33.8,736.0,915.34,95.0,318.55,2.62,338.0,101902.0
20200310:1400,20.67,30.15,637.0,847.61,107.0,309.85,2.55,347.0,101782.0
20200310:1500,21.2,27.8,493.0,778.88,100.0,303.9,2.69,3.0,101722.0
20200310:1600,21.0,27.65,306.0,623.6,90.0,301.95,2.48,28.0,101702.0
20200310:1700,19.69,35.15,82.0,117.67,63.0,299.85,2.41,75.0,101642.0
20200310:1800,17.49,47.25,0.0,-0.0,0.0,297.7,2.28,101.0,101682.0
20200310:1900,16.64,52.8,0.0,-0.0,0.0,303.1,2.48,76.0,101822.0
20200310:2000,15.36,61.2,0.0,-0.0,0.0,304.25,1.72,85.0,101932.0
20200310:2100,14.88,65.15,0.0,-0.0,0.0,303.9,0.69,77.0,102001.0
20200310:2200,13.73,67.65,0.0,-0.0,0.0,296.15,1.1,317.0,102041.0
20200310:2300,11.82,76.2,0.0,-0.0,0.0,298.7,1.66,303.0,102041.0
20200311:0000,11.14,77.1,0.0,-0.0,0.0,291.75,2.07,294.0,102051.0
20200311:0100,10.91,73.45,0.0,-0.0,0.0,292.15,2.28,288.0,102061.0
20200311:0200,10.84,70.75,0.0,-0.0,0.0,286.9,2.34,286.0,102071.0
20200311:0300,10.61,69.95,0.0,-0.0,0.0,286.15,2.28,284.0,102081.0
20200311:0400,10.32,69.65,0.0,-0.0,0.0,285.95,2.21,278.0,102101.0
20200311:0500,9.77,72.55,0.0,-0.0,0.0,288.65,1.93,274.0,102121.0
20200311:0600,9.27,77.3,0.0,-0.0,0.0,288.05,1.79,270.0,102201.0
20200311:0700,11.0,73.35,89.0,217.95,56.0,297.35,1.1,276.0,102261.0
20200311:0800,12.84,67.55,271.0,461.67,115.0,294.65,0.97,244.0,102340.0
20200311:0900,15.83,43.65,373.0,312.9,217.0,299.45,1.17,213.0,102331.0
20200311:1000,17.47,37.25,587.0,671.54,169.0,312.35,1.86,200.0,102321.0
20200311:1100,18.89,33.45,428.0,116.96,346.0,323.55,2.14,191.0,102281.0
20200311:1200,20.33,30.75,405.0,72.68,352.0,332.05,2.34,170.0,102201.0
20200311:1300,21.28,30.25,328.0,28.38,308.0,333.4,3.03,154.0,102101.0
20200311:1400,21.73,31.55,363.0,95.31,303.0,337.45,3.79,147.0,102041.0
20200311:1500,21.65,34.5,364.0,261.52,231.0,327.8,4.14,141.0,101962.0
20200311:1600,21.25,38.25,201.0,125.66,157.0,328.35,4.21,137.0,101912.0
20200311:1700,20.09,44.45,84.0,121.15,64.0,320.1,3.59,129.0,101882.0
20200311:1800,18.43,51.9,0.0,-0.0,0.0,320.65,2.55,116.0,101902.0
20200311:1900,16.92,62.8,0.0,-0.0,0.0,313.35,1.59,75.0,101922.0
20200311:2000,15.64,70.95,0.0,-0.0,0.0,313.9,1.31,22.0,101981.0
20200311:2100,14.41,76.85,0.0,-0.0,0.0,310.45,1.59,356.0,102001.0
20200311:2200,13.43,80.9,0.0,-0.0,0.0,307.75,1.59,344.0,102021.0
20200311:2300,12.48,84.95,0.0,-0.0,0.0,305.4,1.59,334.0,102011.0
20200312:0000,11.71,87.55,0.0,-0.0,0.0,303.1,1.66,322.0,102021.0
20200312:0100,11.32,87.35,0.0,-0.0,0.0,302.6,1.86,311.0,102001.0
20200312:0200,11.14,86.65,0.0,-0.0,0.0,301.2,2.0,303.0,101971.0
20200312:0300,11.22,83.95,0.0,-0.0,0.0,300.8,2.21,296.0,101952.0
20200312:0400,11.28,81.5,0.0,-0.0,0.0,300.2,2.34,289.0,101912.0
20200312:0500,11.32,79.9,0.0,-0.0,0.0,299.65,2.41,285.0,101922.0
20200312:0600,11.33,79.0,0.0,-0.0,0.0,298.5,2.48,284.0,101952.0
20200312:0700,11.45,75.7,109.0,382.86,49.0,295.4,2.34,286.0,101981.0
20200312:0800,14.11,62.45,306.0,649.77,83.0,297.35,1.93,288.0,102031.0
20200312:0900,17.99,46.55,499.0,831.7,80.0,302.55,1.38,294.0,102031.0
20200312:1000,20.99,38.0,646.0,890.79,87.0,310.05,0.34,21.0,102041.0
20200312:1100,22.82,33.85,728.0,864.0,118.0,315.25,1.66,90.0,102021.0
20200312:1200,23.61,33.25,708.0,682.68,207.0,317.4,2.9,93.0,101971.0
20200312:1300,23.5,35.3,724.0,833.31,133.0,317.55,3.72,93.0,101882.0
20200312:1400,22.76,38.95,647.0,861.58,101.0,317.4,4.21,94.0,101842.0
20200312:1500,21.64,43.25,500.0,778.48,101.0,317.2,4.21,98.0,101832.0
20200312:1600,20.47,47.35,320.0,672.48,82.0,315.85,3.45,94.0,101822.0
20200312:1700,19.22,51.9,118.0,373.52,55.0,314.85,2.76,79.0,101832.0
20200312:1800,17.63,59.8,0.0,-0.0,0.0,311.2,2.14,52.0,101882.0
20200312:1900,16.18,69.65,0.0,-0.0,0.0,310.65,1.79,26.0,101952.0
20200312:2000,15.23,75.25,0.0,-0.0,0.0,309.85,1.31,13.0,101962.0
20200312:2100,14.06,82.0,0.0,-0.0,0.0,310.05,1.1,347.0,101981.0
20200312:2200,13.12,84.5,0.0,-0.0,0.0,308.3,1.24,310.0,101991.0
20200312:2300,12.5,87.25,0.0,-0.0,0.0,305.6,1.31,293.0,101962.0
20200313:0000,12.03,88.5,0.0,-0.0,0.0,304.65,1.31,282.0,101922.0
20200313:0100,11.65,89.55,0.0,-0.0,0.0,304.7,1.31,270.0,101882.0
20200313:0200,11.34,90.3,0.0,-0.0,0.0,304.85,1.38,266.0,101822.0
20200313:0300,11.08,90.75,0.0,-0.0,0.0,305.6,1.45,267.0,101762.0
20200313:0400,10.86,91.0,0.0,-0.0,0.0,306.2,1.45,270.0,101742.0
20200313:0500,10.54,91.4,0.0,-0.0,0.0,302.55,1.52,275.0,101712.0
20200313:0600,10.17,92.15,0.0,-0.0,0.0,303.5,1.59,284.0,101732.0
20200313:0700,10.35,91.8,105.0,296.23,57.0,300.4,1.45,304.0,101732.0
20200313:0800,14.45,75.8,284.0,482.06,116.0,304.25,0.9,327.0,101782.0
20200313:0900,18.24,55.05,473.0,671.9,131.0,310.05,0.9,32.0,101752.0
20200313:1000,20.12,50.65,613.0,731.88,150.0,318.75,1.45,74.0,101772.0
20200313:1100,21.58,47.25,700.0,749.75,167.0,321.8,2.07,97.0,101742.0
20200313:1200,22.64,45.0,705.0,663.47,215.0,328.0,2.69,105.0,101692.0
20200313:1300,23.14,44.0,704.0,751.08,168.0,329.15,3.24,107.0,101553.0
20200313:1400,23.17,43.7,589.0,616.09,196.0,329.9,3.59,104.0,101463.0
20200313:1500,22.82,43.55,428.0,447.27,197.0,328.55,3.79,101.0,101393.0
20200313:1600,21.68,46.1,258.0,307.57,148.0,328.0,3.31,93.0,101363.0
20200313:1700,20.29,50.35,92.0,139.35,68.0,322.0,2.76,75.0,101353.0
20200313:1800,18.4,58.45,0.0,-0.0,0.0,316.8,2.14,50.0,101403.0
20200313:1900,16.43,68.5,0.0,-0.0,0.0,316.8,1.72,36.0,101403.0
20200313:2000,15.46,74.55,0.0,-0.0,0.0,311.6,1.79,13.0,101473.0
20200313:2100,14.61,79.9,0.0,-0.0,0.0,309.65,1.79,2.0,101473.0
20200313:2200,13.97,84.25,0.0,-0.0,0.0,310.05,1.66,0.0,101503.0
20200313:2300,13.24,89.1,0.0,-0.0,0.0,307.75,1.45,3.0,101503.0
20200314:0000,12.52,91.4,0.0,-0.0,0.0,305.4,1.45,7.0,101533.0
20200314:0100,11.99,92.45,0.0,-0.0,0.0,304.7,1.52,6.0,101483.0
20200314:0200,11.74,92.9,0.0,-0.0,0.0,304.25,1.52,5.0,101493.0
20200314:0300,11.34,93.9,0.0,-0.0,0.0,305.6,1.66,8.0,101483.0
20200314:0400,11.25,94.35,0.0,-0.0,0.0,304.25,2.0,18.0,101513.0
20200314:0500,11.59,94.3,0.0,-0.0,0.0,307.75,2.21,18.0,101563.0
20200314:0600,11.85,94.15,0.0,-0.0,0.0,309.1,1.86,10.0,101632.0
20200314:0700,11.89,96.0,82.0,107.54,64.0,309.3,1.59,2.0,101682.0
20200314:0800,13.86,85.7,310.0,633.11,86.0,320.25,2.07,13.0,101762.0
20200314:0900,15.28,71.8,449.0,554.24,164.0,322.95,2.83,31.0,101802.0
20200314:1000,16.31,64.5,608.0,707.25,157.0,327.0,3.52,44.0,101802.0
20200314:1100,17.26,59.6,539.0,287.8,333.0,326.45,4.0,54.0,101812.0
20200314:1200,17.59,59.35,681.0,589.37,243.0,320.65,4.28,59.0,101772.0
20200314:1300,17.66,60.15,670.0,633.69,215.0,324.3,4.55,64.0,101712.0
20200314:1400,17.36,61.8,563.0,523.34,227.0,330.9,4.41,68.0,101672.0
20200314:1500,16.99,63.55,374.0,269.04,234.0,328.2,4.14,69.0,101612.0
20200314:1600,16.09,66.45,324.0,678.04,79.0,338.6,3.66,66.0,101593.0
20200314:1700,15.29,68.85,120.0,347.04,59.0,325.1,3.03,66.0,101543.0
20200314:1800,14.54,72.25,0.0,-0.0,0.0,321.6,2.28,66.0,101602.0
20200314:1900,14.13,78.5,0.0,-0.0,0.0,317.2,1.79,55.0,101652.0
20200314:2000,13.58,82.6,0.0,-0.0,0.0,317.2,1.45,62.0,101702.0
20200314:2100,13.09,86.6,0.0,-0.0,0.0,311.4,0.62,58.0,101722.0
20200314:2200,13.32,85.25,0.0,-0.0,0.0,315.05,0.48,6.0,101742.0
20200314:2300,12.46,89.9,0.0,-0.0,0.0,309.45,0.83,326.0,101722.0
20200315:0000,11.56,93.8,0.0,-0.0,0.0,305.6,1.03,317.0,101722.0
20200315:0100,11.12,95.85,0.0,-0.0,0.0,308.15,1.17,308.0,101732.0
20200315:0200,10.51,97.55,0.0,-0.0,0.0,300.6,1.24,278.0,101682.0
20200315:0300,9.66,99.0,0.0,-0.0,0.0,299.25,1.52,261.0,101652.0
20200315:0400,9.44,98.8,0.0,-0.0,0.0,299.45,1.52,264.0,101632.0
20200315:0500,9.4,98.65,0.0,-0.0,0.0,294.05,1.38,272.0,101632.0
20200315:0600,9.03,99.1,0.0,-0.0,0.0,300.2,1.38,270.0,101652.0
20200315:0700,9.97,98.4,122.0,387.88,55.0,306.75,0.9,268.0,101682.0
20200315:0800,12.49,88.25,315.0,618.17,93.0,312.35,0.48,290.0,101762.0
20200315:0900,14.99,70.3,505.0,785.48,97.0,321.45,0.41,74.0,101822.0
20200315:1000,16.49,60.95,659.0,886.85,89.0,327.2,1.31,99.0,101832.0
20200315:1100,17.46,57.2,746.0,892.3,103.0,330.5,2.0,108.0,101792.0
20200315:1200,18.33,54.5,755.0,807.73,151.0,323.95,2.55,112.0,101722.0
20200315:1300,18.92,52.95,767.0,971.81,65.0,325.65,3.1,111.0,101642.0
20200315:1400,19.09,52.75,660.0,872.9,96.0,319.1,3.59,110.0,101583.0
20200315:1500,18.68,54.25,506.0,761.11,107.0,319.9,4.0,106.0,101543.0
20200315:1600,17.84,56.5,325.0,646.56,89.0,330.3,4.07,107.0,101543.0
20200315:1700,16.8,59.75,120.0,317.91,63.0,319.7,3.72,113.0,101563.0
20200315:1800,15.73,66.35,0.0,-0.0,0.0,330.5,2.76,116.0,101593.0
20200315:1900,14.57,77.15,0.0,-0.0,0.0,307.55,1.79,76.0,101652.0
20200315:2000,13.87,82.95,0.0,-0.0,0.0,306.75,1.38,52.0,101712.0
20200315:2100,12.77,91.4,0.0,-0.0,0.0,303.7,1.17,42.0,101752.0
20200315:2200,12.3,92.65,0.0,-0.0,0.0,299.85,1.03,20.0,101732.0
20200315:2300,11.65,94.9,0.0,-0.0,0.0,297.9,1.17,4.0,101752.0
20200316:0000,11.64,95.35,0.0,-0.0,0.0,297.7,1.03,346.0,101742.0
20200316:0100,11.59,95.7,0.0,-0.0,0.0,297.95,1.03,326.0,101712.0
20200316:0200,11.59,95.75,0.0,-0.0,0.0,294.8,1.03,317.0,101662.0
20200316:0300,11.3,96.5,0.0,-0.0,0.0,292.1,1.03,306.0,101602.0
20200316:0400,10.83,97.6,0.0,-0.0,0.0,290.4,1.17,294.0,101602.0
20200316:0500,10.59,98.45,0.0,-0.0,0.0,295.4,1.1,288.0,101573.0
20200316:0600,10.65,98.2,0.0,-0.0,0.0,299.65,1.1,278.0,101593.0
20200316:0700,11.89,96.15,85.0,89.84,69.0,302.55,0.55,313.0,101602.0
20200316:0800,12.77,92.75,236.0,205.8,161.0,298.3,0.34,50.0,101632.0
20200316:0900,14.85,76.35,418.0,388.85,214.0,318.9,1.38,113.0,101612.0
20200316:1000,16.21,67.7,514.0,356.62,283.0,322.0,2.28,129.0,101632.0
20200316:1100,17.36,60.15,635.0,496.26,275.0,327.8,3.03,132.0,101543.0
20200316:1200,18.38,54.3,750.0,776.24,166.0,322.2,3.59,136.0,101453.0
20200316:1300,18.92,52.05,768.0,959.16,71.0,329.7,3.86,131.0,101333.0
20200316:1400,18.86,54.1,575.0,532.16,229.0,333.75,4.55,123.0,101214.0
20200316:1500,18.15,59.8,364.0,223.46,246.0,333.2,5.31,117.0,101134.0
20200316:1600,17.09,65.85,181.0,59.68,159.0,326.65,5.24,112.0,101094.0
20200316:1700,16.06,70.9,97.0,131.3,73.0,325.85,4.69,111.0,101094.0
20200316:1800,15.07,78.55,0.0,-0.0,0.0,325.85,3.66,109.0,101104.0
20200316:1900,14.18,82.75,0.0,-0.0,0.0,322.2,3.66,114.0,101094.0
20200316:2000,13.91,84.5,0.0,-0.0,0.0,330.1,2.9,113.0,101144.0
20200316:2100,13.68,86.55,0.0,-0.0,0.0,334.55,2.07,101.0,101174.0
20200316:2200,13.55,88.1,0.0,-0.0,0.0,345.55,2.21,97.0,101214.0
20200316:2300,13.4,89.65,0.0,-0.0,0.0,349.6,2.21,94.0,101164.0
20200317:0000,13.34,90.65,0.0,-0.0,0.0,357.1,2.28,108.0,101124.0
20200317:0100,12.85,96.6,0.0,-0.0,0.0,360.05,1.86,97.0,101054.0
20200317:0200,12.8,97.0,0.0,-0.0,0.0,358.25,2.0,101.0,100964.0
20200317:0300,12.66,97.4,0.0,-0.0,0.0,353.85,1.86,101.0,100884.0
20200317:0400,12.56,97.75,0.0,-0.0,0.0,352.3,2.0,108.0,100835.0
20200317:0500,12.55,97.95,0.0,-0.0,0.0,355.95,2.14,103.0,100805.0
20200317:0600,12.54,98.15,0.0,-0.0,0.0,356.35,2.21,108.0,100835.0
20200317:0700,12.95,97.95,58.0,10.9,56.0,350.95,2.14,87.0,100855.0
20200317:0800,13.61,94.0,77.0,0.0,77.0,339.35,2.69,86.0,100874.0
20200317:0900,14.53,89.05,59.0,0.0,59.0,339.95,3.86,91.0,100894.0
20200317:1000,15.1,87.35,58.0,0.0,58.0,355.0,4.0,98.0,101004.0
20200317:1100,15.29,83.9,67.0,0.0,67.0,356.7,4.76,103.0,101034.0
20200317:1200,15.39,82.65,69.0,0.0,69.0,371.35,4.76,106.0,101034.0
20200317:1300,15.71,81.4,104.0,0.0,104.0,364.25,4.76,98.0,101004.0
20200317:1400,16.17,78.9,58.0,0.0,58.0,349.8,5.38,94.0,101024.0
20200317:1500,16.07,79.5,161.0,0.0,161.0,358.45,5.17,95.0,101074.0
20200317:1600,16.18,77.15,158.0,29.55,147.0,352.1,3.93,100.0,101104.0
20200317:1700,15.67,80.3,101.0,139.58,75.0,352.85,3.79,88.0,101164.0
20200317:1800,14.97,87.1,0.0,-0.0,0.0,344.75,4.07,84.0,101243.0
20200317:1900,11.49,84.15,0.0,-0.0,0.0,358.45,1.1,295.0,101343.0
20200317:2000,11.55,87.55,0.0,-0.0,0.0,355.0,0.34,326.0,101413.0
20200317:2100,11.7,91.8,0.0,-0.0,0.0,342.65,0.76,71.0,101503.0
20200317:2200,11.72,97.55,0.0,-0.0,0.0,357.3,0.69,84.0,101622.0
20200317:2300,11.82,97.85,0.0,-0.0,0.0,353.05,0.62,50.0,101642.0
20200318:0000,11.97,96.35,0.0,-0.0,0.0,341.5,0.55,53.0,101722.0
20200318:0100,11.57,97.9,0.0,-0.0,0.0,347.9,0.76,63.0,101722.0
20200318:0200,11.51,98.45,0.0,-0.0,0.0,351.15,1.24,91.0,101752.0
20200318:0300,11.82,98.05,0.0,-0.0,0.0,359.05,1.24,124.0,101762.0
20200318:0400,11.93,98.5,0.0,-0.0,0.0,361.9,0.76,156.0,101792.0
20200318:0500,12.36,95.45,0.0,-0.0,0.0,364.8,0.28,268.0,101842.0
20200318:0600,12.28,97.85,0.0,-0.0,0.0,365.95,1.24,331.0,101922.0
20200318:0700,12.33,98.1,26.0,0.0,26.0,355.55,1.66,4.0,101991.0
20200318:0800,12.91,97.75,86.0,0.0,86.0,362.1,1.93,15.0,102091.0
20200318:0900,13.75,97.25,119.0,0.0,119.0,366.15,2.28,44.0,102111.0
20200318:1000,14.28,95.8,81.0,0.0,81.0,370.6,3.38,59.0,102231.0
20200318:1100,14.25,95.75,97.0,0.0,97.0,370.8,4.69,63.0,102231.0
20200318:1200,14.58,93.75,178.0,0.0,178.0,362.1,5.38,56.0,102221.0
20200318:1300,15.02,93.4,149.0,0.0,149.0,369.45,5.59,48.0,102181.0
20200318:1400,14.94,94.25,103.0,0.0,103.0,381.8,5.03,43.0,102201.0
20200318:1500,14.87,94.25,89.0,0.0,89.0,377.95,5.03,39.0,102191.0
20200318:1600,14.7,94.45,74.0,0.0,74.0,373.3,4.83,35.0,102211.0
20200318:1700,14.33,92.9,12.0,0.0,12.0,368.65,5.66,35.0,102251.0
20200318:1800,14.04,91.35,0.0,-0.0,0.0,361.55,5.79,34.0,102311.0
20200318:1900,13.71,89.85,0.0,-0.0,0.0,339.75,5.66,35.0,102390.0
20200318:2000,13.35,90.2,0.0,-0.0,0.0,315.85,5.45,34.0,102460.0
20200318:2100,13.15,89.8,0.0,-0.0,0.0,317.55,5.17,35.0,102530.0
20200318:2200,12.99,89.55,0.0,-0.0,0.0,318.35,5.03,38.0,102540.0
20200318:2300,12.91,89.65,0.0,-0.0,0.0,322.6,4.97,38.0,102550.0
20200319:0000,12.92,89.75,0.0,-0.0,0.0,337.45,4.97,35.0,102520.0
20200319:0100,12.8,90.05,0.0,-0.0,0.0,327.25,4.83,31.0,102480.0
20200319:0200,12.84,89.25,0.0,-0.0,0.0,341.85,4.62,29.0,102490.0
20200319:0300,12.72,88.4,0.0,-0.0,0.0,334.35,4.41,26.0,102440.0
20200319:0400,12.72,86.95,0.0,-0.0,0.0,340.15,4.07,25.0,102440.0
20200319:0500,12.62,86.15,0.0,-0.0,0.0,335.5,3.79,26.0,102470.0
20200319:0600,12.44,86.05,0.0,-0.0,0.0,327.8,3.59,25.0,102460.0
20200319:0700,12.76,86.6,112.0,175.04,78.0,329.55,3.31,30.0,102470.0
20200319:0800,13.41,83.4,287.0,354.93,152.0,316.6,3.93,35.0,102490.0
